,Buurten,Year,Age,Gender,value
1116,Buitengebied Prinsenbeek,2015-01-01,>= 75 jaar,Vrouw,24.0
1117,Teteringen,2015-01-01,>= 75 jaar,Vrouw,426.0
1118,Vuchtpolder,2015-01-01,>= 75 jaar,Vrouw,4.0
1119,Buitengebied Teteringen,2015-01-01,>= 75 jaar,Vrouw,3.0
1120,Valkenberg,2016-01-01,< 30 jaar,Man,525.0
1121,Chassé,2016-01-01,< 30 jaar,Man,617.0
1122,Fellenoord,2016-01-01,< 30 jaar,Man,321.0
1123,Schorsmolen,2016-01-01,< 30 jaar,Man,727.0
1124,Station,2016-01-01,< 30 jaar,Man,555.0
1125,City,2016-01-01,< 30 jaar,Man,672.0
1126,Belcrum,2016-01-01,< 30 jaar,Man,715.0
1127,Doornbos-Linie,2016-01-01,< 30 jaar,Man,963.0
1128,Biesdonk,2016-01-01,< 30 jaar,Man,914.0
1129,Geeren-zuid,2016-01-01,< 30 jaar,Man,758.0
1130,Wisselaar,2016-01-01,< 30 jaar,Man,787.0
1131,Krogten,2016-01-01,< 30 jaar,Man,31.0
1132,Geeren-noord,2016-01-01,< 30 jaar,Man,545.0
1133,Waterdonken,2016-01-01,< 30 jaar,Man,217.0
1134,Brabantpark,2016-01-01,< 30 jaar,Man,1999.0
1135,Sportpark,2016-01-01,< 30 jaar,Man,609.0
1136,Zandberg,2016-01-01,< 30 jaar,Man,1083.0
1137,Heusdenhout,2016-01-01,< 30 jaar,Man,790.0
1138,Moleneind-oost,2016-01-01,< 30 jaar,Man,9.0
1139,Hoogeind,2016-01-01,< 30 jaar,Man,7.0
1140,Blauwe Kei,2016-01-01,< 30 jaar,Man,690.0
1141,Ypelaar,2016-01-01,< 30 jaar,Man,850.0
1142,Overakker,2016-01-01,< 30 jaar,Man,446.0
1143,Ginneken,2016-01-01,< 30 jaar,Man,947.0
1144,Mastbos,2016-01-01,< 30 jaar,Man,108.0
1145,Boeimeer,2016-01-01,< 30 jaar,Man,944.0
1146,Ruitersbos,2016-01-01,< 30 jaar,Man,330.0
1147,Haagpoort,2016-01-01,< 30 jaar,Man,462.0
1148,Heuvel,2016-01-01,< 30 jaar,Man,1614.0
1149,Tuinzigt,2016-01-01,< 30 jaar,Man,1561.0
1150,Princenhage,2016-01-01,< 30 jaar,Man,1416.0
1151,Westerpark,2016-01-01,< 30 jaar,Man,648.0
1152,Heilaar,2016-01-01,< 30 jaar,Man,48.0
1153,Hazeldonk,2016-01-01,< 30 jaar,Man,5.0
1154,Steenakker,2016-01-01,< 30 jaar,Man,41.0
1155,Effen-Rith,2016-01-01,< 30 jaar,Man,124.0
1156,Liesbos,2016-01-01,< 30 jaar,Man,88.0
1157,Gageldonk,2016-01-01,< 30 jaar,Man,904.0
1158,Kievitsloop,2016-01-01,< 30 jaar,Man,871.0
1159,Kesteren,2016-01-01,< 30 jaar,Man,776.0
1160,Muizenberg,2016-01-01,< 30 jaar,Man,601.0
1161,Heksenwiel,2016-01-01,< 30 jaar,Man,847.0
1162,Overkroeten,2016-01-01,< 30 jaar,Man,651.0
1163,Kroeten,2016-01-01,< 30 jaar,Man,468.0
1164,Emer,2016-01-01,< 30 jaar,Man,11.0
1165,Hagebeemd,2016-01-01,< 30 jaar,Man,29.0
1166,Bavel,2016-01-01,< 30 jaar,Man,882.0
1167,Nieuw Wolfslaar,2016-01-01,< 30 jaar,Man,449.0
1168,Buitengebied Bavel,2016-01-01,< 30 jaar,Man,107.0
1169,Ulvenhout,2016-01-01,< 30 jaar,Man,714.0
1170,Buitengebied Ulvenhout,2016-01-01,< 30 jaar,Man,43.0
1171,Prinsenbeek,2016-01-01,< 30 jaar,Man,1757.0
1172,Buitengebied Prinsenbeek,2016-01-01,< 30 jaar,Man,147.0
1173,Teteringen,2016-01-01,< 30 jaar,Man,1137.0
1174,Vuchtpolder,2016-01-01,< 30 jaar,Man,15.0
1175,Buitengebied Teteringen,2016-01-01,< 30 jaar,Man,65.0
1176,Valkenberg,2016-01-01,< 30 jaar,Vrouw,519.0
1177,Chassé,2016-01-01,< 30 jaar,Vrouw,628.0
1178,Fellenoord,2016-01-01,< 30 jaar,Vrouw,339.0
1179,Schorsmolen,2016-01-01,< 30 jaar,Vrouw,859.0
1180,Station,2016-01-01,< 30 jaar,Vrouw,563.0
1181,City,2016-01-01,< 30 jaar,Vrouw,744.0
1182,Belcrum,2016-01-01,< 30 jaar,Vrouw,779.0
1183,Doornbos-Linie,2016-01-01,< 30 jaar,Vrouw,919.0
1184,Biesdonk,2016-01-01,< 30 jaar,Vrouw,937.0
1185,Geeren-zuid,2016-01-01,< 30 jaar,Vrouw,716.0
1186,Wisselaar,2016-01-01,< 30 jaar,Vrouw,826.0
1187,Krogten,2016-01-01,< 30 jaar,Vrouw,33.0
1188,Geeren-noord,2016-01-01,< 30 jaar,Vrouw,530.0
1189,Waterdonken,2016-01-01,< 30 jaar,Vrouw,253.0
1190,Brabantpark,2016-01-01,< 30 jaar,Vrouw,2278.0
1191,Sportpark,2016-01-01,< 30 jaar,Vrouw,628.0
1192,Zandberg,2016-01-01,< 30 jaar,Vrouw,1183.0
1193,Heusdenhout,2016-01-01,< 30 jaar,Vrouw,774.0
1194,Moleneind-oost,2016-01-01,< 30 jaar,Vrouw,7.0
1195,Hoogeind,2016-01-01,< 30 jaar,Vrouw,6.0
1196,Blauwe Kei,2016-01-01,< 30 jaar,Vrouw,739.0
1197,Ypelaar,2016-01-01,< 30 jaar,Vrouw,843.0
1198,Overakker,2016-01-01,< 30 jaar,Vrouw,440.0
1199,Ginneken,2016-01-01,< 30 jaar,Vrouw,898.0
1200,Mastbos,2016-01-01,< 30 jaar,Vrouw,50.0
1201,Boeimeer,2016-01-01,< 30 jaar,Vrouw,1008.0
1202,Ruitersbos,2016-01-01,< 30 jaar,Vrouw,350.0
1203,Haagpoort,2016-01-01,< 30 jaar,Vrouw,460.0
1204,Heuvel,2016-01-01,< 30 jaar,Vrouw,1669.0
1205,Tuinzigt,2016-01-01,< 30 jaar,Vrouw,1692.0
1206,Princenhage,2016-01-01,< 30 jaar,Vrouw,1424.0
1207,Westerpark,2016-01-01,< 30 jaar,Vrouw,612.0
1208,Heilaar,2016-01-01,< 30 jaar,Vrouw,57.0
1209,Hazeldonk,2016-01-01,< 30 jaar,Vrouw,4.0
1210,Steenakker,2016-01-01,< 30 jaar,Vrouw,41.0
1211,Effen-Rith,2016-01-01,< 30 jaar,Vrouw,110.0
1212,Liesbos,2016-01-01,< 30 jaar,Vrouw,93.0
1213,Gageldonk,2016-01-01,< 30 jaar,Vrouw,854.0
1214,Kievitsloop,2016-01-01,< 30 jaar,Vrouw,827.0
1215,Kesteren,2016-01-01,< 30 jaar,Vrouw,769.0
1216,Muizenberg,2016-01-01,< 30 jaar,Vrouw,492.0
1217,Heksenwiel,2016-01-01,< 30 jaar,Vrouw,735.0
1218,Overkroeten,2016-01-01,< 30 jaar,Vrouw,558.0
1219,Kroeten,2016-01-01,< 30 jaar,Vrouw,445.0
1220,Emer,2016-01-01,< 30 jaar,Vrouw,10.0
1221,Hagebeemd,2016-01-01,< 30 jaar,Vrouw,36.0
1222,Bavel,2016-01-01,< 30 jaar,Vrouw,817.0
1223,Nieuw Wolfslaar,2016-01-01,< 30 jaar,Vrouw,414.0
1224,Buitengebied Bavel,2016-01-01,< 30 jaar,Vrouw,67.0
1225,Ulvenhout,2016-01-01,< 30 jaar,Vrouw,629.0
1226,Buitengebied Ulvenhout,2016-01-01,< 30 jaar,Vrouw,35.0
1227,Prinsenbeek,2016-01-01,< 30 jaar,Vrouw,1669.0
1228,Buitengebied Prinsenbeek,2016-01-01,< 30 jaar,Vrouw,116.0
1229,Teteringen,2016-01-01,< 30 jaar,Vrouw,1123.0
1230,Vuchtpolder,2016-01-01,< 30 jaar,Vrouw,14.0
1231,Buitengebied Teteringen,2016-01-01,< 30 jaar,Vrouw,48.0
1232,Valkenberg,2016-01-01,30-44 jaar,Man,241.0
1233,Chassé,2016-01-01,30-44 jaar,Man,394.0
1234,Fellenoord,2016-01-01,30-44 jaar,Man,193.0
1235,Schorsmolen,2016-01-01,30-44 jaar,Man,478.0
1236,Station,2016-01-01,30-44 jaar,Man,305.0
1237,City,2016-01-01,30-44 jaar,Man,289.0
1238,Belcrum,2016-01-01,30-44 jaar,Man,449.0
1239,Doornbos-Linie,2016-01-01,30-44 jaar,Man,535.0
1240,Biesdonk,2016-01-01,30-44 jaar,Man,468.0
1241,Geeren-zuid,2016-01-01,30-44 jaar,Man,354.0
1242,Wisselaar,2016-01-01,30-44 jaar,Man,370.0
1243,Krogten,2016-01-01,30-44 jaar,Man,20.0
1244,Geeren-noord,2016-01-01,30-44 jaar,Man,285.0
1245,Waterdonken,2016-01-01,30-44 jaar,Man,247.0
1246,Brabantpark,2016-01-01,30-44 jaar,Man,1066.0
1247,Sportpark,2016-01-01,30-44 jaar,Man,309.0
1248,Zandberg,2016-01-01,30-44 jaar,Man,453.0
1249,Heusdenhout,2016-01-01,30-44 jaar,Man,407.0
1250,Moleneind-oost,2016-01-01,30-44 jaar,Man,4.0
1251,Hoogeind,2016-01-01,30-44 jaar,Man,5.0
1252,Blauwe Kei,2016-01-01,30-44 jaar,Man,401.0
1253,Ypelaar,2016-01-01,30-44 jaar,Man,404.0
1254,Overakker,2016-01-01,30-44 jaar,Man,240.0
1255,Ginneken,2016-01-01,30-44 jaar,Man,451.0
1256,Mastbos,2016-01-01,30-44 jaar,Man,38.0
1257,Boeimeer,2016-01-01,30-44 jaar,Man,573.0
1258,Ruitersbos,2016-01-01,30-44 jaar,Man,121.0
1259,Haagpoort,2016-01-01,30-44 jaar,Man,297.0
1260,Heuvel,2016-01-01,30-44 jaar,Man,998.0
1261,Tuinzigt,2016-01-01,30-44 jaar,Man,820.0
1262,Princenhage,2016-01-01,30-44 jaar,Man,865.0
1263,Westerpark,2016-01-01,30-44 jaar,Man,415.0
1264,Heilaar,2016-01-01,30-44 jaar,Man,17.0
1265,Hazeldonk,2016-01-01,30-44 jaar,Man,5.0
1266,Steenakker,2016-01-01,30-44 jaar,Man,22.0
1267,Effen-Rith,2016-01-01,30-44 jaar,Man,54.0
1268,Liesbos,2016-01-01,30-44 jaar,Man,39.0
1269,Gageldonk,2016-01-01,30-44 jaar,Man,561.0
1270,Kievitsloop,2016-01-01,30-44 jaar,Man,458.0
1271,Kesteren,2016-01-01,30-44 jaar,Man,440.0
1272,Muizenberg,2016-01-01,30-44 jaar,Man,238.0
1273,Heksenwiel,2016-01-01,30-44 jaar,Man,348.0
1274,Overkroeten,2016-01-01,30-44 jaar,Man,245.0
1275,Kroeten,2016-01-01,30-44 jaar,Man,318.0
1276,Emer,2016-01-01,30-44 jaar,Man,10.0
1277,Hagebeemd,2016-01-01,30-44 jaar,Man,17.0
1278,Bavel,2016-01-01,30-44 jaar,Man,352.0
1279,Nieuw Wolfslaar,2016-01-01,30-44 jaar,Man,207.0
1280,Buitengebied Bavel,2016-01-01,30-44 jaar,Man,22.0
1281,Ulvenhout,2016-01-01,30-44 jaar,Man,292.0
1282,Buitengebied Ulvenhout,2016-01-01,30-44 jaar,Man,14.0
1283,Prinsenbeek,2016-01-01,30-44 jaar,Man,794.0
1284,Buitengebied Prinsenbeek,2016-01-01,30-44 jaar,Man,52.0
1285,Teteringen,2016-01-01,30-44 jaar,Man,537.0
1286,Vuchtpolder,2016-01-01,30-44 jaar,Man,4.0
1287,Buitengebied Teteringen,2016-01-01,30-44 jaar,Man,14.0
1288,Valkenberg,2016-01-01,30-44 jaar,Vrouw,171.0
1289,Chassé,2016-01-01,30-44 jaar,Vrouw,312.0
1290,Fellenoord,2016-01-01,30-44 jaar,Vrouw,151.0
1291,Schorsmolen,2016-01-01,30-44 jaar,Vrouw,362.0
1292,Station,2016-01-01,30-44 jaar,Vrouw,237.0
1293,City,2016-01-01,30-44 jaar,Vrouw,190.0
1294,Belcrum,2016-01-01,30-44 jaar,Vrouw,449.0
1295,Doornbos-Linie,2016-01-01,30-44 jaar,Vrouw,427.0
1296,Biesdonk,2016-01-01,30-44 jaar,Vrouw,472.0
1297,Geeren-zuid,2016-01-01,30-44 jaar,Vrouw,379.0
1298,Wisselaar,2016-01-01,30-44 jaar,Vrouw,381.0
1299,Krogten,2016-01-01,30-44 jaar,Vrouw,12.0
1300,Geeren-noord,2016-01-01,30-44 jaar,Vrouw,249.0
1301,Waterdonken,2016-01-01,30-44 jaar,Vrouw,220.0
1302,Brabantpark,2016-01-01,30-44 jaar,Vrouw,989.0
1303,Sportpark,2016-01-01,30-44 jaar,Vrouw,355.0
1304,Zandberg,2016-01-01,30-44 jaar,Vrouw,507.0
1305,Heusdenhout,2016-01-01,30-44 jaar,Vrouw,450.0
1306,Moleneind-oost,2016-01-01,30-44 jaar,Vrouw,4.0
1307,Hoogeind,2016-01-01,30-44 jaar,Vrouw,6.0
1308,Blauwe Kei,2016-01-01,30-44 jaar,Vrouw,422.0
1309,Ypelaar,2016-01-01,30-44 jaar,Vrouw,462.0
1310,Overakker,2016-01-01,30-44 jaar,Vrouw,268.0
1311,Ginneken,2016-01-01,30-44 jaar,Vrouw,532.0
1312,Mastbos,2016-01-01,30-44 jaar,Vrouw,37.0
1313,Boeimeer,2016-01-01,30-44 jaar,Vrouw,636.0
1314,Ruitersbos,2016-01-01,30-44 jaar,Vrouw,132.0
1315,Haagpoort,2016-01-01,30-44 jaar,Vrouw,274.0
1316,Heuvel,2016-01-01,30-44 jaar,Vrouw,916.0
1317,Tuinzigt,2016-01-01,30-44 jaar,Vrouw,733.0
1318,Princenhage,2016-01-01,30-44 jaar,Vrouw,894.0
1319,Westerpark,2016-01-01,30-44 jaar,Vrouw,463.0
1320,Heilaar,2016-01-01,30-44 jaar,Vrouw,26.0
1321,Hazeldonk,2016-01-01,30-44 jaar,Vrouw,3.0
1322,Steenakker,2016-01-01,30-44 jaar,Vrouw,18.0
1323,Effen-Rith,2016-01-01,30-44 jaar,Vrouw,49.0
1324,Liesbos,2016-01-01,30-44 jaar,Vrouw,41.0
1325,Gageldonk,2016-01-01,30-44 jaar,Vrouw,507.0
1326,Kievitsloop,2016-01-01,30-44 jaar,Vrouw,447.0
1327,Kesteren,2016-01-01,30-44 jaar,Vrouw,433.0
1328,Muizenberg,2016-01-01,30-44 jaar,Vrouw,280.0
1329,Heksenwiel,2016-01-01,30-44 jaar,Vrouw,375.0
1330,Overkroeten,2016-01-01,30-44 jaar,Vrouw,300.0
1331,Kroeten,2016-01-01,30-44 jaar,Vrouw,323.0
1332,Emer,2016-01-01,30-44 jaar,Vrouw,10.0
1333,Hagebeemd,2016-01-01,30-44 jaar,Vrouw,21.0
1334,Bavel,2016-01-01,30-44 jaar,Vrouw,401.0
1335,Nieuw Wolfslaar,2016-01-01,30-44 jaar,Vrouw,268.0
1336,Buitengebied Bavel,2016-01-01,30-44 jaar,Vrouw,22.0
1337,Ulvenhout,2016-01-01,30-44 jaar,Vrouw,351.0
1338,Buitengebied Ulvenhout,2016-01-01,30-44 jaar,Vrouw,13.0
1339,Prinsenbeek,2016-01-01,30-44 jaar,Vrouw,947.0
1340,Buitengebied Prinsenbeek,2016-01-01,30-44 jaar,Vrouw,56.0
1341,Teteringen,2016-01-01,30-44 jaar,Vrouw,599.0
1342,Vuchtpolder,2016-01-01,30-44 jaar,Vrouw,4.0
1343,Buitengebied Teteringen,2016-01-01,30-44 jaar,Vrouw,14.0
1344,Valkenberg,2016-01-01,45-64 jaar,Man,202.0
1345,Chassé,2016-01-01,45-64 jaar,Man,424.0
1346,Fellenoord,2016-01-01,45-64 jaar,Man,167.0
1347,Schorsmolen,2016-01-01,45-64 jaar,Man,309.0
1348,Station,2016-01-01,45-64 jaar,Man,181.0
1349,City,2016-01-01,45-64 jaar,Man,231.0
1350,Belcrum,2016-01-01,45-64 jaar,Man,418.0
1351,Doornbos-Linie,2016-01-01,45-64 jaar,Man,499.0
1352,Biesdonk,2016-01-01,45-64 jaar,Man,565.0
1353,Geeren-zuid,2016-01-01,45-64 jaar,Man,384.0
1354,Wisselaar,2016-01-01,45-64 jaar,Man,531.0
1355,Krogten,2016-01-01,45-64 jaar,Man,44.0
1356,Geeren-noord,2016-01-01,45-64 jaar,Man,329.0
1357,Waterdonken,2016-01-01,45-64 jaar,Man,73.0
1358,Brabantpark,2016-01-01,45-64 jaar,Man,1095.0
1359,Sportpark,2016-01-01,45-64 jaar,Man,439.0
1360,Zandberg,2016-01-01,45-64 jaar,Man,737.0
1361,Heusdenhout,2016-01-01,45-64 jaar,Man,652.0
1362,Moleneind-oost,2016-01-01,45-64 jaar,Man,10.0
1363,Hoogeind,2016-01-01,45-64 jaar,Man,8.0
1364,Blauwe Kei,2016-01-01,45-64 jaar,Man,481.0
1365,Ypelaar,2016-01-01,45-64 jaar,Man,657.0
1366,Overakker,2016-01-01,45-64 jaar,Man,323.0
1367,Ginneken,2016-01-01,45-64 jaar,Man,754.0
1368,Mastbos,2016-01-01,45-64 jaar,Man,105.0
1369,Boeimeer,2016-01-01,45-64 jaar,Man,762.0
1370,Ruitersbos,2016-01-01,45-64 jaar,Man,305.0
1371,Haagpoort,2016-01-01,45-64 jaar,Man,265.0
1372,Heuvel,2016-01-01,45-64 jaar,Man,835.0
1373,Tuinzigt,2016-01-01,45-64 jaar,Man,800.0
1374,Princenhage,2016-01-01,45-64 jaar,Man,1087.0
1375,Westerpark,2016-01-01,45-64 jaar,Man,507.0
1376,Heilaar,2016-01-01,45-64 jaar,Man,65.0
1377,Hazeldonk,2016-01-01,45-64 jaar,Man,7.0
1378,Steenakker,2016-01-01,45-64 jaar,Man,51.0
1379,Effen-Rith,2016-01-01,45-64 jaar,Man,144.0
1380,Liesbos,2016-01-01,45-64 jaar,Man,107.0
1381,Gageldonk,2016-01-01,45-64 jaar,Man,797.0
1382,Kievitsloop,2016-01-01,45-64 jaar,Man,728.0
1383,Kesteren,2016-01-01,45-64 jaar,Man,588.0
1384,Muizenberg,2016-01-01,45-64 jaar,Man,538.0
1385,Heksenwiel,2016-01-01,45-64 jaar,Man,770.0
1386,Overkroeten,2016-01-01,45-64 jaar,Man,588.0
1387,Kroeten,2016-01-01,45-64 jaar,Man,344.0
1388,Emer,2016-01-01,45-64 jaar,Man,10.0
1389,Hagebeemd,2016-01-01,45-64 jaar,Man,39.0
1390,Bavel,2016-01-01,45-64 jaar,Man,884.0
1391,Nieuw Wolfslaar,2016-01-01,45-64 jaar,Man,353.0
1392,Buitengebied Bavel,2016-01-01,45-64 jaar,Man,102.0
1393,Ulvenhout,2016-01-01,45-64 jaar,Man,620.0
1394,Buitengebied Ulvenhout,2016-01-01,45-64 jaar,Man,42.0
1395,Prinsenbeek,2016-01-01,45-64 jaar,Man,1581.0
1396,Buitengebied Prinsenbeek,2016-01-01,45-64 jaar,Man,145.0
1397,Teteringen,2016-01-01,45-64 jaar,Man,1061.0
1398,Vuchtpolder,2016-01-01,45-64 jaar,Man,17.0
1399,Buitengebied Teteringen,2016-01-01,45-64 jaar,Man,30.0
1400,Valkenberg,2016-01-01,45-64 jaar,Vrouw,190.0
1401,Chassé,2016-01-01,45-64 jaar,Vrouw,351.0
1402,Fellenoord,2016-01-01,45-64 jaar,Vrouw,181.0
1403,Schorsmolen,2016-01-01,45-64 jaar,Vrouw,212.0
1404,Station,2016-01-01,45-64 jaar,Vrouw,161.0
1405,City,2016-01-01,45-64 jaar,Vrouw,155.0
1406,Belcrum,2016-01-01,45-64 jaar,Vrouw,394.0
1407,Doornbos-Linie,2016-01-01,45-64 jaar,Vrouw,441.0
1408,Biesdonk,2016-01-01,45-64 jaar,Vrouw,633.0
1409,Geeren-zuid,2016-01-01,45-64 jaar,Vrouw,404.0
1410,Wisselaar,2016-01-01,45-64 jaar,Vrouw,579.0
1411,Krogten,2016-01-01,45-64 jaar,Vrouw,33.0
1412,Geeren-noord,2016-01-01,45-64 jaar,Vrouw,325.0
1413,Waterdonken,2016-01-01,45-64 jaar,Vrouw,74.0
1414,Brabantpark,2016-01-01,45-64 jaar,Vrouw,1118.0
1415,Sportpark,2016-01-01,45-64 jaar,Vrouw,436.0
1416,Zandberg,2016-01-01,45-64 jaar,Vrouw,732.0
1417,Heusdenhout,2016-01-01,45-64 jaar,Vrouw,661.0
1418,Moleneind-oost,2016-01-01,45-64 jaar,Vrouw,7.0
1419,Hoogeind,2016-01-01,45-64 jaar,Vrouw,10.0
1420,Blauwe Kei,2016-01-01,45-64 jaar,Vrouw,533.0
1421,Ypelaar,2016-01-01,45-64 jaar,Vrouw,787.0
1422,Overakker,2016-01-01,45-64 jaar,Vrouw,372.0
1423,Ginneken,2016-01-01,45-64 jaar,Vrouw,797.0
1424,Mastbos,2016-01-01,45-64 jaar,Vrouw,93.0
1425,Boeimeer,2016-01-01,45-64 jaar,Vrouw,809.0
1426,Ruitersbos,2016-01-01,45-64 jaar,Vrouw,299.0
1427,Haagpoort,2016-01-01,45-64 jaar,Vrouw,284.0
1428,Heuvel,2016-01-01,45-64 jaar,Vrouw,853.0
1429,Tuinzigt,2016-01-01,45-64 jaar,Vrouw,765.0
1430,Princenhage,2016-01-01,45-64 jaar,Vrouw,1083.0
1431,Westerpark,2016-01-01,45-64 jaar,Vrouw,452.0
1432,Heilaar,2016-01-01,45-64 jaar,Vrouw,63.0
1433,Hazeldonk,2016-01-01,45-64 jaar,Vrouw,9.0
1434,Steenakker,2016-01-01,45-64 jaar,Vrouw,46.0
1435,Effen-Rith,2016-01-01,45-64 jaar,Vrouw,141.0
1436,Liesbos,2016-01-01,45-64 jaar,Vrouw,122.0
1437,Gageldonk,2016-01-01,45-64 jaar,Vrouw,752.0
1438,Kievitsloop,2016-01-01,45-64 jaar,Vrouw,721.0
1439,Kesteren,2016-01-01,45-64 jaar,Vrouw,591.0
1440,Muizenberg,2016-01-01,45-64 jaar,Vrouw,553.0
1441,Heksenwiel,2016-01-01,45-64 jaar,Vrouw,816.0
1442,Overkroeten,2016-01-01,45-64 jaar,Vrouw,629.0
1443,Kroeten,2016-01-01,45-64 jaar,Vrouw,300.0
1444,Emer,2016-01-01,45-64 jaar,Vrouw,7.0
1445,Hagebeemd,2016-01-01,45-64 jaar,Vrouw,37.0
1446,Bavel,2016-01-01,45-64 jaar,Vrouw,936.0
1447,Nieuw Wolfslaar,2016-01-01,45-64 jaar,Vrouw,315.0
1448,Buitengebied Bavel,2016-01-01,45-64 jaar,Vrouw,95.0
1449,Ulvenhout,2016-01-01,45-64 jaar,Vrouw,641.0
1450,Buitengebied Ulvenhout,2016-01-01,45-64 jaar,Vrouw,38.0
1451,Prinsenbeek,2016-01-01,45-64 jaar,Vrouw,1566.0
1452,Buitengebied Prinsenbeek,2016-01-01,45-64 jaar,Vrouw,136.0
1453,Teteringen,2016-01-01,45-64 jaar,Vrouw,1040.0
1454,Vuchtpolder,2016-01-01,45-64 jaar,Vrouw,23.0
1455,Buitengebied Teteringen,2016-01-01,45-64 jaar,Vrouw,26.0
1456,Valkenberg,2016-01-01,65-74 jaar,Man,110.0
1457,Chassé,2016-01-01,65-74 jaar,Man,190.0
1458,Fellenoord,2016-01-01,65-74 jaar,Man,51.0
1459,Schorsmolen,2016-01-01,65-74 jaar,Man,88.0
1460,Station,2016-01-01,65-74 jaar,Man,50.0
1461,City,2016-01-01,65-74 jaar,Man,71.0
1462,Belcrum,2016-01-01,65-74 jaar,Man,117.0
1463,Doornbos-Linie,2016-01-01,65-74 jaar,Man,169.0
1464,Biesdonk,2016-01-01,65-74 jaar,Man,237.0
1465,Geeren-zuid,2016-01-01,65-74 jaar,Man,147.0
1466,Wisselaar,2016-01-01,65-74 jaar,Man,194.0
1467,Krogten,2016-01-01,65-74 jaar,Man,9.0
1468,Geeren-noord,2016-01-01,65-74 jaar,Man,103.0
1469,Waterdonken,2016-01-01,65-74 jaar,Man,13.0
1470,Brabantpark,2016-01-01,65-74 jaar,Man,373.0
1471,Sportpark,2016-01-01,65-74 jaar,Man,145.0
1472,Zandberg,2016-01-01,65-74 jaar,Man,202.0
1473,Heusdenhout,2016-01-01,65-74 jaar,Man,317.0
1474,Moleneind-oost,2016-01-01,65-74 jaar,Man,5.0
1475,Hoogeind,2016-01-01,65-74 jaar,Man,4.0
1476,Blauwe Kei,2016-01-01,65-74 jaar,Man,204.0
1477,Ypelaar,2016-01-01,65-74 jaar,Man,360.0
1478,Overakker,2016-01-01,65-74 jaar,Man,144.0
1479,Ginneken,2016-01-01,65-74 jaar,Man,275.0
1480,Mastbos,2016-01-01,65-74 jaar,Man,39.0
1481,Boeimeer,2016-01-01,65-74 jaar,Man,294.0
1482,Ruitersbos,2016-01-01,65-74 jaar,Man,157.0
1483,Haagpoort,2016-01-01,65-74 jaar,Man,76.0
1484,Heuvel,2016-01-01,65-74 jaar,Man,309.0
1485,Tuinzigt,2016-01-01,65-74 jaar,Man,273.0
1486,Princenhage,2016-01-01,65-74 jaar,Man,545.0
1487,Westerpark,2016-01-01,65-74 jaar,Man,97.0
1488,Heilaar,2016-01-01,65-74 jaar,Man,21.0
1489,Hazeldonk,2016-01-01,65-74 jaar,Man,3.0
1490,Steenakker,2016-01-01,65-74 jaar,Man,17.0
1491,Effen-Rith,2016-01-01,65-74 jaar,Man,69.0
1492,Liesbos,2016-01-01,65-74 jaar,Man,59.0
1493,Gageldonk,2016-01-01,65-74 jaar,Man,216.0
1494,Kievitsloop,2016-01-01,65-74 jaar,Man,152.0
1495,Kesteren,2016-01-01,65-74 jaar,Man,119.0
1496,Muizenberg,2016-01-01,65-74 jaar,Man,124.0
1497,Heksenwiel,2016-01-01,65-74 jaar,Man,196.0
1498,Overkroeten,2016-01-01,65-74 jaar,Man,112.0
1499,Kroeten,2016-01-01,65-74 jaar,Man,55.0
1500,Emer,2016-01-01,65-74 jaar,Man,7.0
1501,Hagebeemd,2016-01-01,65-74 jaar,Man,15.0
1502,Bavel,2016-01-01,65-74 jaar,Man,343.0
1503,Nieuw Wolfslaar,2016-01-01,65-74 jaar,Man,98.0
1504,Buitengebied Bavel,2016-01-01,65-74 jaar,Man,30.0
1505,Ulvenhout,2016-01-01,65-74 jaar,Man,316.0
1506,Buitengebied Ulvenhout,2016-01-01,65-74 jaar,Man,15.0
1507,Prinsenbeek,2016-01-01,65-74 jaar,Man,654.0
1508,Buitengebied Prinsenbeek,2016-01-01,65-74 jaar,Man,65.0
1509,Teteringen,2016-01-01,65-74 jaar,Man,426.0
1510,Vuchtpolder,2016-01-01,65-74 jaar,Man,10.0
1511,Buitengebied Teteringen,2016-01-01,65-74 jaar,Man,12.0
1512,Valkenberg,2016-01-01,65-74 jaar,Vrouw,86.0
1513,Chassé,2016-01-01,65-74 jaar,Vrouw,213.0
1514,Fellenoord,2016-01-01,65-74 jaar,Vrouw,45.0
1515,Schorsmolen,2016-01-01,65-74 jaar,Vrouw,68.0
1516,Station,2016-01-01,65-74 jaar,Vrouw,39.0
1517,City,2016-01-01,65-74 jaar,Vrouw,66.0
1518,Belcrum,2016-01-01,65-74 jaar,Vrouw,148.0
1519,Doornbos-Linie,2016-01-01,65-74 jaar,Vrouw,161.0
1520,Biesdonk,2016-01-01,65-74 jaar,Vrouw,264.0
1521,Geeren-zuid,2016-01-01,65-74 jaar,Vrouw,195.0
1522,Wisselaar,2016-01-01,65-74 jaar,Vrouw,219.0
1523,Krogten,2016-01-01,65-74 jaar,Vrouw,10.0
1524,Geeren-noord,2016-01-01,65-74 jaar,Vrouw,110.0
1525,Waterdonken,2016-01-01,65-74 jaar,Vrouw,10.0
1526,Brabantpark,2016-01-01,65-74 jaar,Vrouw,450.0
1527,Sportpark,2016-01-01,65-74 jaar,Vrouw,167.0
1528,Zandberg,2016-01-01,65-74 jaar,Vrouw,201.0
