,Buurten,level_of_education,Year,number_of_people,number_of_students
116,Station,Low level,2021-01-01,250,250
117,City,Low level,2021-01-01,220,220
118,Belcrum,Low level,2021-01-01,520,520
119,Doornbos-Linie,Low level,2021-01-01,1020,1020
120,Biesdonk,Low level,2021-01-01,1430,1430
121,Geeren-zuid,Low level,2021-01-01,1110,1110
122,Wisselaar,Low level,2021-01-01,1260,1260
123,Krogten,Low level,2021-01-01,50,50
124,Geeren-noord,Low level,2021-01-01,730,730
125,Waterdonken,Low level,2021-01-01,80,80
126,Brabantpark,Low level,2021-01-01,1880,1880
127,Sportpark,Low level,2021-01-01,300,300
128,Zandberg,Low level,2021-01-01,380,380
129,Heusdenhout,Low level,2021-01-01,980,980
130,Moleneind-oost,Low level,2021-01-01,0,0
131,Hoogeind,Low level,2021-01-01,10,10
132,Blauwe Kei,Low level,2021-01-01,460,460
133,Ypelaar,Low level,2021-01-01,970,970
134,Overakker,Low level,2021-01-01,360,360
135,Ginneken,Low level,2021-01-01,550,550
136,Mastbos,Low level,2021-01-01,150,150
137,Boeimeer,Low level,2021-01-01,640,640
138,Ruitersbos,Low level,2021-01-01,270,270
139,Haagpoort,Low level,2021-01-01,620,620
140,Heuvel,Low level,2021-01-01,2090,2090
141,Tuinzigt,Low level,2021-01-01,2010,2010
142,Princenhage,Low level,2021-01-01,1640,1640
143,Westerpark,Low level,2021-01-01,580,580
144,Heilaar,Low level,2021-01-01,70,70
146,Steenakker,Low level,2021-01-01,40,40
147,Effen-Rith,Low level,2021-01-01,140,140
148,Liesbos,Low level,2021-01-01,120,120
149,Gageldonk,Low level,2021-01-01,820,820
150,Kievitsloop,Low level,2021-01-01,800,800
151,Kesteren,Low level,2021-01-01,900,900
152,Muizenberg,Low level,2021-01-01,680,680
153,Heksenwiel,Low level,2021-01-01,880,880
154,Overkroeten,Low level,2021-01-01,480,480
155,Kroeten,Low level,2021-01-01,340,340
157,Hagebeemd,Low level,2021-01-01,40,40
158,Bavel,Low level,2021-01-01,810,810
159,Nieuw Wolfslaar,Low level,2021-01-01,370,370
160,Buitengebied Bavel,Low level,2021-01-01,110,110
161,Ulvenhout,Low level,2021-01-01,580,580
162,Buitengebied Ulvenhout,Low level,2021-01-01,40,40
163,Prinsenbeek,Low level,2021-01-01,1750,1750
164,Buitengebied Prinsenbeek,Low level,2021-01-01,120,120
165,Teteringen,Low level,2021-01-01,1150,1150
166,Vuchtpolder,Low level,2021-01-01,20,20
167,Buitengebied Teteringen,Low level,2021-01-01,60,60
168,Valkenberg,Middle level,2019-01-01,740,740
169,Chassé,Middle level,2019-01-01,900,900
170,Fellenoord,Middle level,2019-01-01,580,580
171,Schorsmolen,Middle level,2019-01-01,1160,1160
172,Station,Middle level,2019-01-01,730,730
173,City,Middle level,2019-01-01,1160,1160
174,Belcrum,Middle level,2019-01-01,1060,1060
175,Doornbos-Linie,Middle level,2019-01-01,1460,1460
176,Biesdonk,Middle level,2019-01-01,1480,1480
177,Geeren-zuid,Middle level,2019-01-01,1050,1050
178,Wisselaar,Middle level,2019-01-01,1140,1140
179,Krogten,Middle level,2019-01-01,70,70
180,Geeren-noord,Middle level,2019-01-01,850,850
181,Waterdonken,Middle level,2019-01-01,200,200
182,Brabantpark,Middle level,2019-01-01,3300,3300
183,Sportpark,Middle level,2019-01-01,840,840
184,Zandberg,Middle level,2019-01-01,1290,1290
185,Heusdenhout,Middle level,2019-01-01,1470,1470
186,Moleneind-oost,Middle level,2019-01-01,10,10
187,Hoogeind,Middle level,2019-01-01,20,20
188,Blauwe Kei,Middle level,2019-01-01,950,950
189,Ypelaar,Middle level,2019-01-01,1810,1810
190,Overakker,Middle level,2019-01-01,580,580
