,Buurten,level_of_education,Year,value
171,Schorsmolen, Midden,2019,1160
172,Station, Midden,2019,730
173,City, Midden,2019,1160
174,Belcrum, Midden,2019,1060
175,Doornbos-Linie, Midden,2019,1460
176,Biesdonk, Midden,2019,1480
177,Geeren-zuid, Midden,2019,1050
178,Wisselaar, Midden,2019,1140
179,Krogten, Midden,2019,70
180,Geeren-noord, Midden,2019,850
181,Waterdonken, Midden,2019,200
182,Brabantpark, Midden,2019,3300
183,Sportpark, Midden,2019,840
184,Zandberg, Midden,2019,1290
185,Heusdenhout, Midden,2019,1470
186,Moleneind-oost, Midden,2019,10
187,Hoogeind, Midden,2019,20
188,Blauwe Kei, Midden,2019,950
189,Ypelaar, Midden,2019,1810
190,Overakker, Midden,2019,580
191,Ginneken, Midden,2019,950
192,Mastbos, Midden,2019,160
193,Boeimeer, Midden,2019,1210
194,Ruitersbos, Midden,2019,470
195,Haagpoort, Midden,2019,550
196,Heuvel, Midden,2019,2160
197,Tuinzigt, Midden,2019,2820
198,Princenhage, Midden,2019,2330
199,Westerpark, Midden,2019,990
200,Heilaar, Midden,2019,110
201,Hazeldonk, Midden,2019,?
202,Steenakker, Midden,2019,290
203,Effen-Rith, Midden,2019,280
204,Liesbos, Midden,2019,170
205,Gageldonk, Midden,2019,1490
206,Kievitsloop, Midden,2019,1510
207,Kesteren, Midden,2019,1400
208,Muizenberg, Midden,2019,950
209,Heksenwiel, Midden,2019,1480
210,Overkroeten, Midden,2019,1130
211,Kroeten, Midden,2019,740
212,Emer, Midden,2019,?
213,Hagebeemd, Midden,2019,30
214,Bavel, Midden,2019,1690
215,Nieuw Wolfslaar, Midden,2019,470
216,Buitengebied Bavel, Midden,2019,190
217,Ulvenhout, Midden,2019,1090
218,Buitengebied Ulvenhout, Midden,2019,100
219,Prinsenbeek, Midden,2019,3400
220,Buitengebied Prinsenbeek, Midden,2019,340
221,Teteringen, Midden,2019,1950
222,Vuchtpolder, Midden,2019,40
223,Buitengebied Teteringen, Midden,2019,20
224,Valkenberg, Midden,2020,
225,Chassé, Midden,2020,
226,Fellenoord, Midden,2020,
227,Schorsmolen, Midden,2020,
228,Station, Midden,2020,
229,City, Midden,2020,
230,Belcrum, Midden,2020,
231,Doornbos-Linie, Midden,2020,
232,Biesdonk, Midden,2020,
233,Geeren-zuid, Midden,2020,
234,Wisselaar, Midden,2020,
235,Krogten, Midden,2020,
236,Geeren-noord, Midden,2020,
237,Waterdonken, Midden,2020,
238,Brabantpark, Midden,2020,
239,Sportpark, Midden,2020,
240,Zandberg, Midden,2020,
241,Heusdenhout, Midden,2020,
242,Moleneind-oost, Midden,2020,
243,Hoogeind, Midden,2020,
244,Blauwe Kei, Midden,2020,
245,Ypelaar, Midden,2020,
246,Overakker, Midden,2020,
247,Ginneken, Midden,2020,
248,Mastbos, Midden,2020,
249,Boeimeer, Midden,2020,
250,Ruitersbos, Midden,2020,
251,Haagpoort, Midden,2020,
252,Heuvel, Midden,2020,
253,Tuinzigt, Midden,2020,
254,Princenhage, Midden,2020,
255,Westerpark, Midden,2020,
256,Heilaar, Midden,2020,
257,Hazeldonk, Midden,2020,
258,Steenakker, Midden,2020,
259,Effen-Rith, Midden,2020,
260,Liesbos, Midden,2020,
261,Gageldonk, Midden,2020,
262,Kievitsloop, Midden,2020,
263,Kesteren, Midden,2020,
264,Muizenberg, Midden,2020,
265,Heksenwiel, Midden,2020,
266,Overkroeten, Midden,2020,
267,Kroeten, Midden,2020,
268,Emer, Midden,2020,
269,Hagebeemd, Midden,2020,
270,Bavel, Midden,2020,
271,Nieuw Wolfslaar, Midden,2020,
272,Buitengebied Bavel, Midden,2020,
273,Ulvenhout, Midden,2020,
