,Buurten,Year,value
140,Heuvel,2020,"3,9642746"
141,Tuinzigt,2020,"3,9579438"
142,Princenhage,2020,"4,2006204"
143,Westerpark,2020,"4,1441579"
144,Heilaar,2020,"4,3089926"
145,Hazeldonk,2020,?
146,Steenakker,2020,"3,8895081"
147,Effen-Rith,2020,"4,1965436"
148,Liesbos,2020,"4,2461532"
149,Gageldonk,2020,"4,0586048"
150,Kievitsloop,2020,"4,0504400"
151,Kesteren,2020,"3,9843782"
152,Muizenberg,2020,"4,0444092"
153,Heksenwiel,2020,"4,0742179"
154,Overkroeten,2020,"4,0447931"
155,Kroeten,2020,"4,0710483"
156,Emer,2020,?
157,Hagebeemd,2020,"4,3401180"
158,Bavel,2020,"4,2286584"
159,Nieuw Wolfslaar,2020,"4,2704295"
160,Buitengebied Bavel,2020,"4,2934189"
161,Ulvenhout,2020,"4,2601497"
162,Buitengebied Ulvenhout,2020,"4,2476167"
163,Prinsenbeek,2020,"4,1980640"
164,Buitengebied Prinsenbeek,2020,"4,2747239"
165,Teteringen,2020,"4,2748255"
166,Vuchtpolder,2020,"4,3157208"
167,Buitengebied Teteringen,2020,"4,4683443"
